RMSE ACC
0.0962102 0.9
0.0919694 0.914167
0.0900302 0.915
0.0869767 0.935
0.0897714 0.915
0.0853908 0.9375
0.0918953 0.925833
0.096879 0.908333
0.089245 0.925833
0.0903118 0.9125
0.0941559 0.919167
0.0868989 0.915833
0.0927365 0.925
0.0882706 0.924167
0.0862349 0.929167
0.0965123 0.905
0.0948016 0.9125
0.0929065 0.924167
0.0895416 0.920833
0.0950575 0.909167
0.0851794 0.934167
0.0929909 0.911667
0.0921042 0.916667
0.0906066 0.924167
0.0855241 0.928333
0.0899186 0.923333
0.0856298 0.930833
0.0953534 0.905
0.0868217 0.923333
0.0845395 0.934167
0.0882591 0.925833
0.0863698 0.929167
0.091665 0.9125
0.0959001 0.911667
0.0907702 0.913333
0.0940428 0.909167
0.0887526 0.925833
0.0840247 0.930833
0.0854131 0.940833
0.0927007 0.921667
0.0856624 0.925833
0.0893881 0.924167
0.0888442 0.923333
0.0842577 0.934167
0.0851711 0.935833
0.088119 0.934167
0.0869015 0.935833
0.0914331 0.911667
0.0869704 0.93
0.0955783 0.905
0.0887234 0.910833
0.0925291 0.911667
0.0890719 0.93
0.0962358 0.898333
0.0896165 0.925
0.0931099 0.9075
0.0851963 0.920833
0.0886667 0.910833
0.0927241 0.910833
0.0868944 0.9225
0.0901002 0.905
0.0919907 0.904167
0.0880316 0.9175
0.0827749 0.936667
0.0892857 0.925
0.0843827 0.93
0.0924356 0.906667
0.0819536 0.9325
0.0871059 0.93
0.0888729 0.921667
0.0964083 0.9025
0.0875941 0.914167
0.0926172 0.913333
0.0858006 0.9225
0.0905742 0.9025
0.0851364 0.9225
0.0845396 0.921667
0.0810051 0.943333
0.0880343 0.913333
0.0858604 0.935833
0.0812444 0.936667
0.0910964 0.910833
0.084077 0.92
0.0841723 0.9225
0.0940482 0.898333
0.0887782 0.908333
0.0927612 0.896667
0.0870029 0.916667
0.0885192 0.908333
0.0848698 0.934167
0.0850603 0.925
0.0852457 0.9225
0.0827264 0.935
0.0825745 0.9425
0.0880194 0.914167
0.0872394 0.915
0.0864747 0.916667
0.0856426 0.911667
0.0849492 0.93
0.0870824 0.905833
0.080234 0.939167
0.0835637 0.9275
0.084594 0.921667
0.0842543 0.9275
0.0862187 0.916667
0.0849567 0.9175
0.0789741 0.936667
0.0837225 0.926667
0.0906039 0.8975
0.0898177 0.905833
0.0854987 0.919167
0.0848104 0.9225
0.0845263 0.919167
0.0900158 0.921667
0.0856225 0.914167
0.0791605 0.935833
0.0855255 0.918333
0.0883833 0.915
0.085092 0.920833
0.0798352 0.936667
0.0845307 0.919167
0.0883504 0.909167
0.0848448 0.921667
0.083977 0.92
0.0841253 0.9175
0.0848386 0.915
0.0798109 0.933333
0.0798542 0.930833
0.0856968 0.911667
0.0810634 0.928333
0.0831409 0.930833
0.0806069 0.9275
0.0868615 0.9175
0.0837662 0.925833
0.0867092 0.910833
0.0850177 0.92
0.0853047 0.92
0.0859058 0.916667
0.082948 0.919167
0.0841717 0.921667
0.0788762 0.935833
0.079578 0.930833
0.0828874 0.909167
0.0885341 0.908333
0.0823692 0.93
0.0869105 0.9075
0.0773898 0.948333
0.0861064 0.923333
0.0814334 0.925833
0.0812585 0.924167
0.0841487 0.918333
0.0763764 0.938333
0.0805379 0.931667
0.0775484 0.9375
0.0815741 0.925
0.0769507 0.94
0.0831351 0.915
0.0820919 0.916667
0.0826342 0.925833
0.0822248 0.9225
0.0884627 0.9025
0.0810675 0.926667
0.078744 0.928333
0.0811926 0.9225
0.0777029 0.929167
0.0799742 0.934167
0.0879367 0.904167
0.0794641 0.935
0.0813908 0.929167
0.0875523 0.906667
0.0782913 0.9325
0.0844579 0.924167
0.0809915 0.929167
0.0763122 0.944167
0.0837253 0.918333
0.0813778 0.923333
0.0846727 0.909167
0.0819152 0.916667
0.0830451 0.915833
0.0827381 0.915
0.0806016 0.920833
0.0810286 0.93
0.0787837 0.93
0.0771107 0.933333
0.0802809 0.9325
0.0819748 0.921667
0.0780935 0.9325
0.0839937 0.919167
0.0840906 0.905833
0.0769822 0.9325
0.0783033 0.940833
0.0824318 0.920833
0.0824418 0.9225
0.0836275 0.914167
0.0746704 0.940833
0.0765691 0.938333
0.0781598 0.935
0.0761023 0.928333
0.0782512 0.924167
0.0771602 0.940833
0.0749436 0.9375
0.0799497 0.926667
0.0806523 0.93
0.0775811 0.933333
0.0806349 0.9175
0.07986 0.935833
0.0767617 0.934167
0.077118 0.930833
0.0761757 0.930833
0.0778917 0.923333
0.0791238 0.930833
0.0766083 0.930833
0.0805076 0.925833
0.0866088 0.9075
0.081312 0.92
0.0812418 0.9225
0.0850237 0.918333
0.077921 0.924167
0.0843558 0.910833
0.0797775 0.923333
0.0759176 0.931667
0.082787 0.92
0.0822335 0.924167
0.0837625 0.915833
0.087625 0.901667
0.076174 0.939167
0.0788527 0.931667
0.0711657 0.951667
0.0805445 0.923333
0.0768524 0.928333
0.0747357 0.934167
0.0785728 0.925
0.0767164 0.935833
0.0772177 0.931667
0.0804399 0.921667
0.0774528 0.9225
0.0786326 0.9225
0.0757985 0.936667
0.0765687 0.931667
0.0745762 0.930833
0.0818311 0.920833
0.0774472 0.928333
0.0826046 0.904167
0.075194 0.931667
0.0764524 0.935
0.0735436 0.935833
0.0775777 0.935833
0.0740289 0.938333
0.0750945 0.935
0.0803905 0.92
0.0749975 0.934167
0.07883 0.921667
0.0771011 0.921667
0.0768876 0.921667
0.0756967 0.920833
0.0791841 0.914167
0.0798825 0.918333
0.0797665 0.918333
0.0795293 0.916667
0.0744844 0.936667
0.0729619 0.9375
0.0785976 0.926667
0.0746693 0.9325
0.0761617 0.935833
0.0755285 0.925
0.0709755 0.939167
0.0769878 0.935
0.0778708 0.92
0.0725622 0.934167
0.0793987 0.923333
0.0781849 0.926667
0.0789148 0.915
0.0755573 0.933333
0.0789882 0.926667
0.0754217 0.9325
0.0803408 0.9125
0.0716892 0.941667
0.0744206 0.93
0.071703 0.943333
0.0756753 0.9275
0.0746666 0.935833
0.0798327 0.929167
0.0747827 0.93
0.0719126 0.940833
0.080411 0.915
0.0747319 0.9325
0.0725003 0.9375
0.0795382 0.926667
0.073467 0.931667
0.0733681 0.931667
0.076245 0.9275
0.0744855 0.939167
0.0770842 0.926667
0.0769826 0.9225
0.067733 0.95
0.0774007 0.924167
0.0775434 0.920833
0.0747737 0.930833
0.0768986 0.921667
0.0711768 0.940833
0.072402 0.948333
0.0819957 0.9
0.0706664 0.95
0.0739492 0.935
0.0726003 0.933333
0.0749024 0.93
0.0742179 0.944167
0.0703671 0.94
0.0714801 0.933333
0.0728502 0.936667
0.0796788 0.910833
0.0686277 0.943333
0.0724039 0.9325
0.0710248 0.936667
0.074243 0.934167
0.0686428 0.950833
0.0707096 0.935833
0.0737032 0.9325
0.0784726 0.923333
0.0740424 0.934167
0.0749931 0.9275
0.0748248 0.930833
0.0734681 0.9325
0.0770152 0.919167
0.0804872 0.92
0.0678737 0.94
0.0752835 0.933333
0.0767626 0.915833
0.0757237 0.92
0.0760894 0.9275
0.0809134 0.913333
0.0716662 0.93
0.0798502 0.915
0.0732925 0.933333
0.0729228 0.9325
0.0725909 0.9375
0.0714952 0.930833
0.081333 0.915833
0.0855331 0.9025
0.0742104 0.928333
0.0665064 0.954167
0.0762591 0.923333
0.0721016 0.930833
0.0793554 0.911667
0.0749406 0.93
0.0758728 0.914167
0.0738333 0.925
0.0748417 0.918333
0.0771869 0.92
0.0770745 0.925
0.0749967 0.93
0.0766456 0.925
0.0744259 0.931667
0.0787142 0.906667
0.0747251 0.938333
0.0769242 0.926667
0.0684738 0.940833
0.0754214 0.93
0.0673391 0.948333
0.0648016 0.955833
0.0713956 0.9425
0.075838 0.9225
0.0683432 0.933333
0.0685392 0.94
0.0689837 0.9375
0.0717258 0.935833
0.0738124 0.928333
0.0732662 0.933333
0.0704281 0.935
0.0723393 0.930833
0.0773017 0.916667
0.0743353 0.925833
0.0760949 0.925
0.0663526 0.945
0.0743739 0.933333
0.0732912 0.935
0.0765868 0.919167
0.0693896 0.941667
0.069692 0.931667
0.0727203 0.9325
0.0785861 0.901667
0.074476 0.9275
0.0683728 0.935833
0.0691019 0.941667
0.0729535 0.935833
0.0735114 0.9275
0.0714645 0.934167
0.0724824 0.934167
0.071807 0.935
0.0639239 0.955833
0.0689462 0.9425
0.0658756 0.946667
0.0694426 0.9475
0.0646656 0.945
0.0718306 0.9225
0.0722286 0.925
0.0662652 0.943333
0.0769553 0.919167
0.0676131 0.946667
0.0682327 0.939167
0.0743829 0.931667
0.0758975 0.9125
0.0673968 0.945833
0.0717098 0.936667
0.0731433 0.925
0.0678985 0.949167
0.0750684 0.919167
0.0677244 0.940833
0.0745242 0.9225
0.0730838 0.930833
0.0653862 0.936667
0.0708739 0.929167
0.0697762 0.933333
0.0749076 0.923333
0.071192 0.933333
0.0696542 0.939167
0.0665035 0.945
0.0689564 0.939167
0.068367 0.9425
0.0710738 0.9275
0.0723357 0.928333
0.0688514 0.9275
0.0693466 0.935833
0.0674345 0.94
0.0687076 0.928333
0.0710904 0.920833
0.069585 0.935
0.0684046 0.946667
0.06519 0.94
0.0729683 0.931667
0.073879 0.925833
0.0698954 0.928333
0.0700953 0.9375
0.0689089 0.938333
0.0729572 0.926667
